locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
PSPTO_RS29075,PSPTO_RS29075,,350,1660,+,replication protein A,Transcription,
PSPTO_RS29080,PSPTO_RS29080,PSPTO_B0002%2CPSPTOB0002,1841,3070,-,IS91 family transposase,"Replication, recombination and repair",Q877Q5
PSPTO_RS29085,PSPTO_RS29085,PSPTO_B0003%2CPSPTOB0003,3277,3750,+,DUF3757 domain-containing protein,Function unknown,A0A0N8T433
PSPTO_RS29090,PSPTO_RS29090,,3813,3938,-,IS91 family transposase,"Replication, recombination and repair",
PSPTO_RS29095,PSPTO_RS29095,PSPTO_B0005%2CPSPTOB0005,4424,6106,-,acid phosphatase,Cell wall/membrane/envelope biogenesis,A0A0P9TTF4
PSPTO_RS29100,pilV,,7113,7556,+,shufflon system plasmid conjugative transfer pilus tip adhesin PilV,Cell motility,
PSPTO_RS29105,pilM,PSPTO_B0007%2CPSPTOB0007,7588,8028,+,type IV pilus biogenesis protein PilM,Function unknown,A0A0Q0CF58
PSPTO_RS29110,PSPTO_RS29110,,8219,8356,-,IS91 family transposase,"Replication, recombination and repair",
PSPTO_RS29115,PSPTO_RS29115,,8453,9316,-,diguanylate phosphodiesterase,Signal transduction mechanisms,
PSPTO_RS29120,PSPTO_RS29120,PSPTO_B0010%2CPSPTOB0010,9553,10932,+,MFS transporter,Inorganic ion transport and metabolism,A0A0P9UZS7
PSPTO_RS29125,PSPTO_RS29125,,11047,11826,+,DNA polymerase V subunit UmuC,"Replication, recombination and repair",
PSPTO_RS29130,PSPTO_RS29130,,12398,12593,+,LysR family transcriptional regulator,Transcription,
PSPTO_RS29135,PSPTO_RS29135,PSPTO_B0012%2CPSPTOB0012,12597,13712,-,hypothetical protein,Carbohydrate transport and metabolism,UPI0003A431E0
PSPTO_RS29140,PSPTO_RS29140,,13966,14439,-,DUF3757 domain-containing protein,Function unknown,
PSPTO_RS29145,PSPTO_RS29145,PSPTO_B0013%2CPSPTOB0013,14664,15407,-,class I SAM-dependent methyltransferase,Function unknown,A0A3M2X9N8
PSPTO_RS29150,PSPTO_RS29150,,15706,16129,+,IS5 family transposase,"Replication, recombination and repair",
PSPTO_RS29155,PSPTO_RS29155,PSPTO_B0015%2CPSPTOB0015,16194,16424,+,hypothetical protein,No COG annotation,A0A0P9YHI2
PSPTO_RS29160,PSPTO_RS29160,PSPTO_B0016%2CPSPTOB0016,16446,16799,+,hypothetical protein,No COG annotation,A0A0Q0ETT2
PSPTO_RS29165,PSPTO_RS29165,PSPTO_B0017%2CPSPTOB0017,17333,18283,+,IS5 family transposase,"Replication, recombination and repair",UPI0003223CD4
PSPTO_RS29170,PSPTO_RS29170,PSPTO_B0018%2CPSPTOB0018,18458,18877,-,type II toxin-antitoxin system VapC family toxin,Function unknown,A0A0M0UN98
PSPTO_RS29175,PSPTO_RS29175,PSPTO_B0019%2CPSPTOB0019,18874,19131,-,Arc family DNA-binding protein,Function unknown,A0A108UTP0
PSPTO_RS29180,PSPTO_RS29180,PSPTO_B0020%2CPSPTOB0020,19504,20451,-,hypothetical protein,No COG annotation,A0A2G4CS27
PSPTO_RS29185,PSPTO_RS29185,,20813,21094,-,hypothetical protein,No COG annotation,A0A099SZ41
PSPTO_RS29190,PSPTO_RS29190,PSPTO_B0021%2CPSPTOB0021,21094,21777,-,AAA family ATPase,"Cell cycle control, cell division, chromosome partitioning",A0A0P9GZ94
PSPTO_RS29195,PSPTO_RS29195,PSPTO_B0022%2CPSPTOB0022,22172,22372,+,molecular chaperone DnaK,Signal transduction mechanisms,A0A0N0WES5
PSPTO_RS29200,PSPTO_RS29200,PSPTO_B0023%2CPSPTOB0023,22410,22631,+,hypothetical protein,No COG annotation,A0A0P9WXC5
